Number,  Location,  Area,  Price,Bedrooms,Bathrooms,Wardrobes,Cabinets,Balcony,Parking,Quarters
1044,Kanombe,25/20 m,28 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
1045,Kanombe,25/30 m,55 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1046,Kicukiro, sqm,60 000 000  Rwf,4.0,3.0,,Yes,,,
1047,Kibagabaga, sqm,95 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
1048,,20/25 m,38 000 000  Rwf,4.0,2.0,,,,,
1049,Gisozi, sqm,17 000 000  Rwf,4.0,1.0,,Yes,,,
1050,Kagugu,600 sqm,25 000 000  Rwf,4.0,2.0,,,,,
1051,Kimironko,25/30 m,60 000 000  Rwf,4.0,2.0,,,,Yes,Yes
1052,Kimironko,35/20 m,75 000 000  Rwf,3.0,2.0,Yes,Yes,Yes,Yes,
1053,,500 sqm,47 000 000  Rwf,4.0,3.0,,,,Yes,
1054,Kimiromko, sqm,60 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1055,Kibagabaga,25/30 m,70 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1056,Kanombe,25/20 m,55 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1057,Masaka,13 sqm,nan Negotiable,4.0,,,,,,
1058,Kicukiro,25/30 m,50 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1059,Kicukiro, sqm,65 000 000  Rwf,4.0,3.0,,,Yes,Yes,
1060,Kibagabaga,25/30 m,75 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1061,Kibagabaga,25/25 m,85 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
1062,Niboyi, sqm,65 000 000  Rwf,4.0,3.0,,Yes,,,Yes
1063,Kabeza,25/35 m,70 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1064,Kanombe,25/25 m,55 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1065,Kicukiro,20/30 m,95 000 000  Rwf,5.0,4.0,Yes,,,Yes,Yes
1066,Kicukiro,25/30 m,52 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1067,Gacuriro,20/30 m,250 000 000  Rwf,6.0,8.0,,,,,
1068,Kanombe, sqm,52 000 000  Rwf,4.0,3.0,,Yes,,,
1069,Kicukiro,20/30 m,120 000 000  Rwf,4.0,4.0,Yes,Yes,Yes,Yes,
1070,Kanombe,25/30 m,50 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1071,Kibagabaga,25/30 m,75 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1072,Kicukiro,20/30 m,65 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1073,Kibagabaga,944 sqm,80 000 000  Rwf,5.0,3.0,,,,,
1074,Kanombe,25/20 m,45 000 000  Rwf,,1.0,,,,Yes,Yes
1075,,20/30 m,72 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1076,Masaka, sqm,35 000 000  Rwf,4.0,3.0,,Yes,,,
1077,Remera,20/28 m,nan Negotiable,3.0,1.0,,,,Yes,
1078,Kimihurura,35/45 m,180 000 000  Rwf,4.0,3.0,Yes,,,Yes,Yes
1079,,20/25 m,55 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1080,Kabeza, sqm,57 000 000  Rwf,4.0,3.0,,Yes,,,
1081,, sqm,15 000 000  Rwf,3.0,,,,,,
1082,Kibagabaga,30/30 m,175 000 000  Rwf,4.0,4.0,,,,,
1083,Kanombe, sqm,55 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1084,Nyamata, sqm,34 000 000  Rwf,5.0,3.0,,,Yes,,
1085,Niboyi,25/30 m,75 000 000  Rwf,4.0,3.0,,,,,Yes
1086,Kicukiro,20/25 m,80 000 000  Rwf,4.0,3.0,,,,Yes,Yes
1087,Kibagabaga, sqm,120 000 000  Rwf,5.0,4.0,,,,,
1088,Gishushu, sqm,120 000 000  Rwf,4.0,3.0,,Yes,,Yes,
1089,Kagugu, sqm,150 000 000  Rwf,4.0,2.0,,Yes,Yes,,Yes
1090,Kimironko, sqm,80 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
1091,,20/30 m,40 000 000  Rwf,4.0,3.0,,,,Yes,
1092,Gisozi,25/30 m,60 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,
1093,Kabuga, sqm,30 000 000  Rwf,4.0,3.0,,Yes,,,
1094,Kimironko, sqm,50 000 000  Rwf,4.0,3.0,Yes,Yes,Yes,Yes,Yes
1095,Kimironko,30/25 m,85 000 000  Rwf,,1.0,,,,Yes,Yes
1096,Kibagabaga, sqm,180 000 000  Rwf,5.0,6.0,Yes,Yes,Yes,Yes,Yes
1097,Jali,30/25 m,85 000 000  Rwf,5.0,1.0,Yes,Yes,Yes,Yes,
